Language	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
ngwe	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
dizi	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
mofu-gudur	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
changzhou	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
alacalufe (southern)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	+	-	-	-
moken	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
cashibo-cacataibo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
koshin	-	+	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
belanda boor	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	-	-	-	+	+	+	-	-
ndemli	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
öñge; ong; onge	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	-	+	-	+
baruga	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
paiwan	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
minangkabau	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
wanano	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
lukundu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
ignaciano	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
araweté	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
korubo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
georgian	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	+	+	+	-	+	+	-	+	-	+
awara	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
hausa (niger)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
duala	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	-	-	+	+	-	+	-	-
pohnpeian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
ojibwa	-	+	+	+	-	+	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
tiruray	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
liberian english	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
afitti	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
subiya	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
rumanian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
jaqaru	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	+	-	-	-
arára do mato grosso	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
abipon	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
yuracure	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
chukchi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	+	+	-	-	+	+	-	+	-	-
yanomámi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
tagalog	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
longto	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
bhele	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
nootka	-	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	-	+	+	+	-	+	+	+	+	+	-	+	+	-	+	+	-	+	-	-
foodo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
cantonese	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
saynawa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
yareba	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
abau	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
callawaya	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	+	-	-	-
kharia	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
pat̩t̩an̩i	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
kuikúro-kalapálo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
lao	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
yaqui	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
lai	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
lak	-	+	+	+	-	+	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	-	+	+	+	+	+	-	+	+	-	+	+	-	-	-	+
lithuanian	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
lwaa	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
fijian	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	+
laz	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
lake miwok; miwok (lake)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
rukai	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
cerma 	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
tonkawa	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kaliai	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	+
greek	-	-	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
duruma	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
lusaamia	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
mboó	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
kakabe	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
kuruáya	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
galician	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
maidu	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
chimariko	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	+
kullo	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	+	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
shawnee	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	-	-	+	+	-	-	-	-
garawa	-	+	+	+	-	+	-	+	+	-	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	-	-	-	+	-	+	-	+
oriya	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
klamath	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	-	-	-
yawanawa	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
suena	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
mbuko	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
eyak	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
anii	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
haida	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
michoacan nahual	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	+
maasai	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
kinnauri; kanauri	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
ashéninka (pichis dialect)	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
podoko	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
torwali	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
tigemaxo bozo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
soso	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
apurinã	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
angas	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
panobo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	-	-	-
logo	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
mbalanhu	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
trumai	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	-	+	+	+	+	-	+
trió	-	-	+	+	-	+	-	+	+	+	-	+	-	-	+	+	+	-	-	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
chorote (iyo'wujwa and iyowa'ja dialects)	-	-	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	-	+	-	+	+	+	-	+	-	+	-	-	+	+	-	-	-	-
halbi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
kiowa	-	-	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
mande	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
aja	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
manange	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
malagasy	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
aymara (central dialect)	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	+	-	+	-	+	+	-	+	+	+	-	-	-
basari	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	-
gbesi	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	-	-	+	+	-	+	-	+
sinhalese	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
mambay; mambai	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
paez	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	+	+	+	-	+	+	+	+	-	-
konni	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
koalib	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	-	+
kaiwá	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
yucatec	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	+	-	+	-	+	+	-	+	+	-	+	-	-
ayacucho quechua	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
apinayé	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	-	-	+	+	+	+	-	-
katukína	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
hixkaryana	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	+	+	-	-
carib (french guiana dialect)	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	-	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
dholuo	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+
mocovi	-	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-	+	+	+	-	+	+	-	-	+	-	+	+	-	+	+	+	-	-	-
fe?fe?	-	+	+	+	-	+	+	+	+	+	-	+	-	-	+	+	+	+	-	-	+	-	+	+	-	-	+	-	+	+	-	+	+	-	-	-	-
heiban	-	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	+	+	+	-	+	+	+	+	-	-	+	-	+	+	-	+	+	+	+	-	+
